text,emotion,hr,hrv,eda
"Audio emotional state: grief, detected from speech prosody",grief,65.5,37.5,2.61
The speaker sounds irritated,anger,90.2,23.9,6.28
The speaker sounds joyful,joy,72.4,52.6,3.29
Voice sadness indicator — the speaker sounds downcast with evident expression,sadness,68.0,55.7,1.74
Audio segment classified as fear based on fearful vocal characteristics,fear,102.1,26.0,6.11
Prosodic analysis of a social interaction phrase reveals standard excitement,excitement,87.2,48.3,5.07
Voice anger indicator — the speaker sounds enraged with noticeable expression,anger,89.6,29.4,5.89
The speaker's voice carries moderate signs of being sad,sadness,68.7,52.9,1.6
"Audio emotional state: fear, detected from speech prosody",fear,99.6,42.5,7.61
Voice anger indicator — the speaker sounds angry with typical expression,anger,100.8,20.4,7.37
Acoustic features suggest the person feels surprised while delivering a spoken utterance,surprise,88.8,43.7,3.33
Acoustic features suggest the person feels happy while delivering a reflective statement,joy,81.2,76.5,3.71
Speech emotion detection: revolted voice pattern with normal arousal,disgust,83.1,50.9,4.77
Voice analysis indicates sadness with evident intensity,sadness,64.7,43.5,1.46
Speech emotion detection: taken aback voice pattern with clear arousal,surprise,84.5,45.7,4.08
Voice analysis indicates joy with standard intensity,joy,73.6,63.1,2.99
Audio segment classified as disgust based on repulsed vocal characteristics,disgust,74.8,49.7,6.64
The speaker's voice carries distinct signs of being elated,joy,75.7,67.6,2.65
Prosodic analysis of a thoughtful expression reveals normal fear,fear,104.7,42.0,7.2
"The vocal expression conveys neutral, the tone is composed",neutral,73.9,70.3,1.09
Speech emotion detection: repulsed voice pattern with typical arousal,disgust,71.0,38.1,5.46
"The vocal expression conveys fear, the tone is panicked",fear,102.8,44.7,9.58
Prosodic analysis of a spoken utterance reveals distinct neutral,neutral,67.8,59.6,1.63
Prosodic analysis of a workplace statement reveals normal disgust,disgust,75.9,46.0,4.56
"The vocal expression conveys frustration, the tone is annoyed",frustration,97.7,44.3,5.32
The person is speaking in a furious tone suggesting anger,anger,95.1,31.9,6.59
The person is speaking in a despondent tone suggesting grief,grief,60.9,34.1,1.09
The speaker sounds happy,joy,76.1,61.4,3.14
The speaker's voice carries noticeable signs of being impassive,neutral,66.4,70.3,1.79
"Audio emotional state: surprise, detected from speech prosody",surprise,98.4,54.2,5.78
Speech emotion detection: calm voice pattern with typical arousal,calm,59.7,66.5,1.04
Acoustic features suggest the person feels joyful while delivering a social interaction phrase,joy,89.5,59.8,2.04
Emotional tone: anguished. Intensity level: extreme. Classification: grief,grief,64.6,46.7,2.04
Acoustic features suggest the person feels despondent while delivering a transactional statement,grief,62.0,48.4,1.02
The speaker sounds revolted,disgust,77.2,37.6,4.5
Voice analysis indicates anxiety with typical intensity,anxiety,96.8,36.1,6.18
Emotional tone: elated. Intensity level: moderate. Classification: joy,joy,74.6,52.8,2.95
Acoustic features suggest the person feels disgusted while delivering a reflective statement,disgust,77.6,45.1,6.87
"The vocal expression conveys anger, the tone is angry",anger,109.8,21.7,5.31
"The vocal expression conveys disgust, the tone is disgusted",disgust,73.5,46.2,4.2
Voice analysis indicates anger with moderate intensity,anger,90.3,25.6,5.91
Speech emotion detection: revolted voice pattern with evident arousal,disgust,76.7,51.1,6.28
"Audio emotional state: anger, detected from speech prosody",anger,98.8,25.5,7.48
Emotional tone: melancholy. Intensity level: clear. Classification: sadness,sadness,69.8,42.1,1.84
Acoustic features suggest the person feels matter-of-fact while delivering a reflective statement,neutral,62.7,66.7,1.04
Emotional tone: disgusted. Intensity level: standard. Classification: disgust,disgust,79.1,46.9,6.45
The speaker's voice carries clear signs of being sickened,disgust,84.3,50.7,4.84
The speaker's voice carries evident signs of being even-toned,neutral,61.0,68.7,1.24
Audio segment classified as calm based on placid vocal characteristics,calm,69.5,79.6,1.7
The speaker sounds scared,fear,83.4,43.0,7.76
Speech emotion detection: furious voice pattern with moderate arousal,anger,95.7,29.2,6.5
"The vocal expression conveys disgust, the tone is repulsed",disgust,88.0,54.4,4.0
Prosodic analysis of a workplace statement reveals standard fear,fear,87.9,27.1,8.59
"The vocal expression conveys sadness, the tone is sorrowful",sadness,66.0,53.1,1.46
"The vocal expression conveys disgust, the tone is sickened",disgust,83.4,51.9,6.95
"Audio emotional state: disgust, detected from speech prosody",disgust,89.7,40.4,4.9
Voice analysis indicates grief with pronounced intensity,grief,50.6,31.3,1.87
Prosodic analysis of a spoken utterance reveals evident surprise,surprise,97.1,36.8,5.61
Speech emotion detection: relaxed voice pattern with typical arousal,calm,69.0,77.9,1.18
Emotional tone: scared. Intensity level: clear. Classification: fear,fear,94.7,26.2,6.22
Voice grief indicator — the speaker sounds despondent with clear expression,grief,53.4,49.7,2.9
"The vocal expression conveys anger, the tone is enraged",anger,106.4,25.6,5.54
Voice analysis indicates sadness with standard intensity,sadness,58.1,55.9,1.39
Prosodic analysis of a transactional statement reveals normal anger,anger,94.2,30.8,6.26
Speech emotion detection: disgusted voice pattern with clear arousal,disgust,81.2,37.4,5.4
"The vocal expression conveys calm, the tone is placid",calm,58.9,87.7,1.39
Voice anxiety indicator — the speaker sounds tense with subtle expression,anxiety,97.2,37.8,8.02
Voice disgust indicator — the speaker sounds disgusted with distinct expression,disgust,76.2,45.7,6.5
Voice analysis indicates calm with noticeable intensity,calm,66.4,71.0,1.16
The person is speaking in a sickened tone suggesting disgust,disgust,81.9,39.6,4.08
"The vocal expression conveys disgust, the tone is sickened",disgust,89.6,47.5,5.17
Voice neutral indicator — the speaker sounds matter-of-fact with evident expression,neutral,73.6,65.0,1.08
Voice sadness indicator — the speaker sounds melancholy with normal expression,sadness,63.8,42.1,1.93
The person is speaking in a nervous tone suggesting anxiety,anxiety,92.8,31.5,7.34
Voice analysis indicates neutral with standard intensity,neutral,64.3,69.3,1.66
Emotional tone: devastated. Intensity level: normal. Classification: grief,grief,59.0,44.8,1.62
Emotional tone: nervous. Intensity level: low. Classification: anxiety,anxiety,77.4,33.1,5.21
The speaker's voice carries noticeable signs of being scared,fear,98.1,26.4,8.99
"Audio emotional state: disgust, detected from speech prosody",disgust,89.3,43.6,5.43
The person is speaking in a delighted tone suggesting joy,joy,83.6,55.1,3.45
The speaker's voice carries clear signs of being contemptuous,contempt,82.1,36.6,4.48
The person is speaking in a matter-of-fact tone suggesting neutral,neutral,64.7,57.9,1.41
Emotional tone: irate. Intensity level: typical. Classification: anger,anger,107.4,37.3,6.36
Prosodic analysis of a transactional statement reveals normal neutral,neutral,63.7,78.9,1.1
Audio segment classified as sadness based on gloomy vocal characteristics,sadness,65.3,51.9,1.15
Voice analysis indicates joy with standard intensity,joy,87.6,53.6,2.27
Prosodic analysis of a spoken utterance reveals noticeable grief,grief,57.6,34.2,1.03
Prosodic analysis of an emotional statement reveals distinct sadness,sadness,58.3,51.0,1.84
Speech emotion detection: sickened voice pattern with standard arousal,disgust,86.5,48.3,5.36
Speech emotion detection: sorrowful voice pattern with mild arousal,sadness,67.0,56.3,1.73
The person is speaking in a cheerful tone suggesting joy,joy,80.1,71.7,3.05
The person is speaking in a delighted tone suggesting joy,joy,86.8,71.2,2.64
The speaker's voice carries clear signs of being frightened,fear,101.1,29.0,7.54
Voice fear indicator — the speaker sounds fearful with normal expression,fear,80.6,31.3,9.09
Voice analysis indicates joy with distinct intensity,joy,83.3,59.6,3.05
"The vocal expression conveys fear, the tone is panicked",fear,89.6,28.5,6.74
The speaker's voice carries evident signs of being elated,joy,82.9,76.6,3.25
"The vocal expression conveys joy, the tone is joyful",joy,73.3,72.2,3.91
Prosodic analysis of a social interaction phrase reveals normal contempt,contempt,77.0,43.1,3.81
"The vocal expression conveys fear, the tone is terrified",fear,80.6,26.2,7.37
Voice sadness indicator — the speaker sounds downcast with normal expression,sadness,59.1,44.4,1.11
"Audio emotional state: joy, detected from speech prosody",joy,79.5,77.0,2.38
Speech emotion detection: gloomy voice pattern with standard arousal,sadness,68.6,52.3,1.88
Speech emotion detection: nervous voice pattern with normal arousal,anxiety,79.3,25.8,8.06
Emotional tone: incensed. Intensity level: typical. Classification: anger,anger,101.2,24.0,6.43
"Audio emotional state: contempt, detected from speech prosody",contempt,76.0,42.7,4.77
"The vocal expression conveys neutral, the tone is even-toned",neutral,63.5,55.3,1.75
Acoustic features suggest the person feels startled while delivering a spoken utterance,surprise,77.3,47.8,4.78
The person is speaking in a delighted tone suggesting joy,joy,76.7,73.8,3.88
The speaker's voice carries moderate signs of being pleased,joy,86.2,77.3,3.42
The speaker sounds alarmed,fear,90.9,31.6,7.73
Voice analysis indicates sadness with normal intensity,sadness,62.7,47.4,1.97
Voice frustration indicator — the speaker sounds frustrated with subtle expression,frustration,83.2,39.1,6.26
The speaker sounds heartbroken,grief,64.9,48.4,2.79
The speaker's voice carries typical signs of being composed,neutral,72.7,61.5,1.35
Prosodic analysis of a workplace statement reveals moderate sadness,sadness,68.6,45.0,1.31
Speech emotion detection: downcast voice pattern with normal arousal,sadness,55.9,58.6,1.67
Voice joy indicator — the speaker sounds elated with moderate expression,joy,87.4,73.3,2.84
"The vocal expression conveys sadness, the tone is melancholy",sadness,59.1,58.2,1.58
Speech emotion detection: revolted voice pattern with clear arousal,disgust,73.9,35.5,4.28
Prosodic analysis of a suggestive phrase reveals typical fear,fear,89.2,30.0,7.13
"The vocal expression conveys sadness, the tone is downcast",sadness,56.0,47.9,1.64
Prosodic analysis of a social interaction phrase reveals standard sadness,sadness,68.0,58.7,1.87
Voice analysis indicates excitement with normal intensity,excitement,106.2,42.3,6.55
Voice analysis indicates sadness with moderate intensity,sadness,66.5,48.7,1.33
The person is speaking in a thrilled tone suggesting excitement,excitement,93.1,59.5,6.7
Voice analysis indicates sadness with low intensity,sadness,58.3,50.8,1.37
Acoustic features suggest the person feels frightened while delivering a spoken utterance,fear,86.7,25.1,8.9
"Audio emotional state: sadness, detected from speech prosody",sadness,57.9,43.5,1.69
Emotional tone: sad. Intensity level: clear. Classification: sadness,sadness,64.1,40.8,1.59
"The vocal expression conveys disgust, the tone is sickened",disgust,72.3,43.0,4.25
Prosodic analysis of an emotional statement reveals clear fear,fear,90.8,28.0,6.21
The speaker's voice carries standard signs of being matter-of-fact,neutral,69.6,70.7,1.55
The speaker sounds sad,sadness,55.7,50.3,1.55
Audio segment classified as anger based on enraged vocal characteristics,anger,93.4,35.1,5.14
Audio segment classified as sadness based on gloomy vocal characteristics,sadness,63.8,47.6,1.3
The speaker's voice carries moderate signs of being irate,anger,89.2,22.2,5.31
The speaker sounds irritated,anger,106.2,24.6,7.15
Voice analysis indicates joy with standard intensity,joy,73.9,50.5,3.38
Emotional tone: amazed. Intensity level: evident. Classification: surprise,surprise,78.1,43.3,5.39
The speaker's voice carries evident signs of being exasperated,frustration,95.5,31.0,6.3
"Audio emotional state: joy, detected from speech prosody",joy,74.5,61.5,2.31
Emotional tone: gloomy. Intensity level: subtle. Classification: sadness,sadness,64.7,46.6,1.63
"The vocal expression conveys anger, the tone is irate",anger,96.2,22.6,5.87
"Audio emotional state: frustration, detected from speech prosody",frustration,86.5,44.7,6.82
The person is speaking in a neutral tone suggesting neutral,neutral,73.1,60.3,1.89
The speaker's voice carries moderate signs of being melancholy,sadness,55.3,46.5,1.73
Voice joy indicator — the speaker sounds cheerful with moderate expression,joy,77.6,54.6,2.14
Voice disgust indicator — the speaker sounds repulsed with standard expression,disgust,79.2,46.2,4.15
Acoustic features suggest the person feels revolted while delivering an emotional statement,disgust,86.7,41.9,4.99
Prosodic analysis of a spoken utterance reveals distinct surprise,surprise,85.8,48.6,4.98
The speaker sounds even-toned,neutral,71.3,55.4,1.62
Emotional tone: elated. Intensity level: typical. Classification: joy,joy,87.5,56.3,2.99
The person is speaking in a delighted tone suggesting joy,joy,73.0,54.2,3.69
The person is speaking in a revolted tone suggesting disgust,disgust,85.0,40.4,4.32
Prosodic analysis of a transactional statement reveals standard sadness,sadness,59.2,54.6,1.61
Acoustic features suggest the person feels repulsed while delivering a workplace statement,disgust,73.9,40.9,5.64
Prosodic analysis of a spoken phrase reveals typical sadness,sadness,68.5,47.6,1.42
Voice excitement indicator — the speaker sounds energized with pronounced expression,excitement,106.5,42.4,5.7
"Audio emotional state: anger, detected from speech prosody",anger,108.8,26.8,5.17
Audio segment classified as anger based on irate vocal characteristics,anger,86.3,30.1,5.69
"Audio emotional state: sadness, detected from speech prosody",sadness,62.5,49.9,1.16
Audio segment classified as neutral based on even-toned vocal characteristics,neutral,67.3,60.9,1.44
The speaker sounds uneasy,anxiety,98.8,39.7,7.21
Voice analysis indicates fear with typical intensity,fear,86.9,32.0,7.08
Acoustic features suggest the person feels neutral while delivering a social interaction phrase,neutral,63.3,65.4,1.62
Prosodic analysis of a spoken utterance reveals distinct surprise,surprise,93.2,46.1,3.12
Speech emotion detection: disgusted voice pattern with standard arousal,disgust,78.1,41.0,6.85
Voice analysis indicates disgust with moderate intensity,disgust,80.1,49.1,6.2
Voice analysis indicates disgust with typical intensity,disgust,78.4,44.9,5.55
"The vocal expression conveys neutral, the tone is composed",neutral,69.6,68.2,1.7
The speaker's voice carries moderate signs of being surprised,surprise,75.8,43.2,5.31
"The vocal expression conveys calm, the tone is relaxed",calm,65.9,77.2,0.83
The person is speaking in a matter-of-fact tone suggesting neutral,neutral,74.1,71.6,1.38
Speech emotion detection: even-toned voice pattern with typical arousal,neutral,69.2,77.2,1.63
Voice analysis indicates disgust with standard intensity,disgust,70.7,52.6,5.02
"Audio emotional state: sadness, detected from speech prosody",sadness,69.0,59.6,1.79
The speaker's voice carries noticeable signs of being astonished,surprise,78.8,50.0,4.82
The speaker's voice carries standard signs of being scornful,contempt,75.5,43.4,4.58
Speech emotion detection: appalled voice pattern with typical arousal,disgust,78.3,47.4,6.5
Acoustic features suggest the person feels delighted while delivering a workplace statement,joy,88.2,65.5,2.8
"The vocal expression conveys joy, the tone is pleased",joy,82.0,75.2,2.94
The speaker sounds impassive,neutral,67.5,78.8,1.79
The speaker sounds even-toned,neutral,62.1,55.1,1.85
The person is speaking in a irritated tone suggesting anger,anger,90.2,33.6,5.01
Audio segment classified as joy based on elated vocal characteristics,joy,85.4,75.0,2.66
The person is speaking in a tense tone suggesting anxiety,anxiety,94.0,23.5,6.12
The speaker sounds livid,anger,93.1,28.5,5.4
The speaker's voice carries standard signs of being incensed,anger,109.3,34.7,6.72
The person is speaking in a neutral tone suggesting neutral,neutral,74.0,57.0,1.88
Prosodic analysis of a conversational statement reveals standard disgust,disgust,79.2,54.8,6.9
Voice fear indicator — the speaker sounds fearful with moderate expression,fear,90.2,36.9,7.24
Prosodic analysis of a spoken utterance reveals distinct disgust,disgust,80.3,38.5,4.45
Speech emotion detection: tense voice pattern with noticeable arousal,anxiety,76.1,28.7,7.08
Audio segment classified as neutral based on even-toned vocal characteristics,neutral,65.0,69.5,1.96
The person is speaking in a anguished tone suggesting grief,grief,60.2,47.5,1.94
"The vocal expression conveys contempt, the tone is disdainful",contempt,84.4,34.7,3.63
"The vocal expression conveys neutral, the tone is composed",neutral,72.7,79.5,1.98
Emotional tone: joyful. Intensity level: evident. Classification: joy,joy,84.5,63.0,3.89
Voice anger indicator — the speaker sounds furious with evident expression,anger,109.2,21.9,5.66
Audio segment classified as neutral based on even-toned vocal characteristics,neutral,69.7,62.3,1.75
Audio segment classified as fear based on frightened vocal characteristics,fear,101.8,41.1,7.87
The person is speaking in a sorrowful tone suggesting sadness,sadness,57.3,58.6,1.02
"Audio emotional state: joy, detected from speech prosody",joy,77.8,56.2,2.07
Acoustic features suggest the person feels elated while delivering a transactional statement,joy,88.2,63.9,2.43
Speech emotion detection: composed voice pattern with normal arousal,neutral,71.0,63.4,1.59
Audio segment classified as disgust based on sickened vocal characteristics,disgust,89.9,36.6,4.32
Voice disgust indicator — the speaker sounds sickened with clear expression,disgust,75.6,45.7,4.07
The speaker's voice carries moderate signs of being uneasy,anxiety,80.9,24.1,7.23
Voice joy indicator — the speaker sounds pleased with moderate expression,joy,82.5,78.3,3.26
Prosodic analysis of a motivational sentence reveals moderate fear,fear,101.3,34.6,6.88
Voice sadness indicator — the speaker sounds downcast with typical expression,sadness,55.3,52.4,1.17
Voice anger indicator — the speaker sounds furious with moderate expression,anger,100.7,37.7,6.54
Emotional tone: dejected. Intensity level: evident. Classification: sadness,sadness,59.7,57.9,1.09
"The vocal expression conveys joy, the tone is delighted",joy,77.9,76.1,2.67
The speaker's voice carries moderate signs of being sorrowful,sadness,63.3,46.6,1.88
Acoustic features suggest the person feels calm while delivering a spoken utterance,calm,63.8,68.7,1.32
Prosodic analysis of an emotional statement reveals evident sadness,sadness,69.4,40.4,1.57
The person is speaking in a repulsed tone suggesting disgust,disgust,79.4,54.4,5.1
Prosodic analysis of a motivational sentence reveals standard sadness,sadness,67.7,56.7,1.97
Prosodic analysis of a factual statement reveals typical fear,fear,86.5,30.1,7.73
The speaker's voice carries normal signs of being joyful,joy,83.5,61.4,3.89
Speech emotion detection: sickened voice pattern with standard arousal,disgust,77.3,43.3,5.71
The speaker sounds pleased,joy,89.2,64.4,2.93
The speaker sounds impassive,neutral,67.9,56.0,1.41
Audio segment classified as sadness based on melancholy vocal characteristics,sadness,61.0,59.4,1.38
The speaker sounds anxious,anxiety,81.9,34.3,5.6
Acoustic features suggest the person feels matter-of-fact while delivering a spoken utterance,neutral,67.7,72.2,1.66
"The vocal expression conveys calm, the tone is placid",calm,63.3,65.9,1.24
Prosodic analysis of a motivational sentence reveals normal anger,anger,94.2,39.1,6.2
The speaker sounds sorrowful,sadness,55.7,41.6,1.7
Prosodic analysis of a motivational sentence reveals normal anger,anger,102.9,37.0,6.79
Emotional tone: even-toned. Intensity level: normal. Classification: neutral,neutral,63.1,69.5,1.74
Prosodic analysis of a social interaction phrase reveals typical anxiety,anxiety,92.4,30.1,8.92
The speaker sounds appalled,disgust,73.0,41.4,6.27
Speech emotion detection: irritated voice pattern with pronounced arousal,anger,85.4,35.2,7.51
Emotional tone: thrilled. Intensity level: typical. Classification: excitement,excitement,91.2,54.4,4.35
The person is speaking in a dejected tone suggesting sadness,sadness,56.1,47.1,1.77
"The vocal expression conveys anger, the tone is angry",anger,105.1,27.0,5.6
"The vocal expression conveys anger, the tone is enraged",anger,104.4,28.7,6.09
The speaker sounds vexed,frustration,92.5,29.2,5.89
Prosodic analysis of a transactional statement reveals moderate joy,joy,78.4,60.5,2.73
"Audio emotional state: joy, detected from speech prosody",joy,88.9,50.7,2.41
Voice analysis indicates surprise with clear intensity,surprise,79.5,45.7,4.59
Audio segment classified as fear based on alarmed vocal characteristics,fear,84.9,42.8,6.36
Prosodic analysis of a spoken utterance reveals moderate contempt,contempt,76.3,32.8,4.81
Voice fear indicator — the speaker sounds fearful with evident expression,fear,83.5,38.8,9.94
The speaker's voice carries typical signs of being sorrowful,sadness,60.8,53.7,1.52
"The vocal expression conveys sadness, the tone is gloomy",sadness,57.7,44.5,1.67
Voice analysis indicates sadness with moderate intensity,sadness,68.6,43.8,1.04
The speaker's voice carries typical signs of being angry,anger,108.4,23.6,6.17
Speech emotion detection: joyful voice pattern with standard arousal,joy,87.3,58.5,2.26
The speaker's voice carries distinct signs of being terrified,fear,95.7,30.5,6.31
"Audio emotional state: excitement, detected from speech prosody",excitement,95.4,41.5,4.36
The speaker sounds alarmed,fear,98.1,27.0,6.67
"The vocal expression conveys calm, the tone is serene",calm,66.8,78.0,1.91
Speech emotion detection: elated voice pattern with evident arousal,joy,80.7,58.5,3.14
Acoustic features suggest the person feels stunned while delivering a spoken utterance,surprise,99.2,48.0,3.89
The person is speaking in a serene tone suggesting calm,calm,58.9,84.5,1.58
Audio segment classified as neutral based on matter-of-fact vocal characteristics,neutral,74.1,67.7,1.84
The speaker's voice carries moderate signs of being appalled,disgust,81.7,39.3,6.99
"The vocal expression conveys neutral, the tone is even-toned",neutral,62.6,74.0,1.69
Audio segment classified as disgust based on appalled vocal characteristics,disgust,78.0,42.1,4.46
The speaker's voice carries typical signs of being impassive,neutral,69.8,67.9,1.28
"The vocal expression conveys surprise, the tone is taken aback",surprise,75.6,38.3,4.41
"The vocal expression conveys surprise, the tone is amazed",surprise,76.1,54.2,3.8
Voice analysis indicates contempt with normal intensity,contempt,84.8,39.9,3.37
Voice sadness indicator — the speaker sounds dejected with clear expression,sadness,66.9,40.7,1.2
The speaker's voice carries moderate signs of being furious,anger,105.0,35.9,7.12
"Audio emotional state: fear, detected from speech prosody",fear,104.5,42.6,9.8
"Audio emotional state: sadness, detected from speech prosody",sadness,55.2,59.2,1.15
The person is speaking in a cheerful tone suggesting joy,joy,84.0,71.1,2.15
Acoustic features suggest the person feels sad while delivering a spoken utterance,sadness,64.4,59.3,1.93
"Audio emotional state: calm, detected from speech prosody",calm,62.2,85.0,1.95
Speech emotion detection: scared voice pattern with typical arousal,fear,81.5,26.0,6.47
Acoustic features suggest the person feels delighted while delivering a conversational statement,joy,81.2,74.1,3.83
The speaker sounds impassive,neutral,64.2,70.0,1.02
Emotional tone: even-toned. Intensity level: noticeable. Classification: neutral,neutral,68.6,62.8,1.2
The person is speaking in a contemptuous tone suggesting contempt,contempt,85.3,33.1,4.46
Speech emotion detection: furious voice pattern with clear arousal,anger,97.0,39.1,6.05
Speech emotion detection: cheerful voice pattern with moderate arousal,joy,89.6,64.8,2.63
"Audio emotional state: sadness, detected from speech prosody",sadness,64.1,57.9,1.37
"Audio emotional state: disgust, detected from speech prosody",disgust,77.9,35.4,5.11
Emotional tone: scornful. Intensity level: low. Classification: contempt,contempt,88.7,45.2,5.0
"Audio emotional state: sadness, detected from speech prosody",sadness,67.6,46.7,1.15
"The vocal expression conveys calm, the tone is calm",calm,71.3,74.6,1.08
The speaker sounds appalled,disgust,87.9,53.2,5.34
Voice sadness indicator — the speaker sounds sad with mild expression,sadness,63.9,51.8,1.13
Emotional tone: fearful. Intensity level: standard. Classification: fear,fear,88.7,30.9,6.75
Speech emotion detection: relaxed voice pattern with evident arousal,calm,60.8,71.3,1.57
The speaker's voice carries intense signs of being scared,fear,81.9,43.8,7.39
Audio segment classified as joy based on pleased vocal characteristics,joy,78.0,54.6,2.4
Voice anger indicator — the speaker sounds furious with strong expression,anger,89.4,27.4,5.42
"Audio emotional state: joy, detected from speech prosody",joy,74.8,54.3,2.73
Speech emotion detection: joyful voice pattern with evident arousal,joy,87.1,51.2,3.2
Audio segment classified as disgust based on revolted vocal characteristics,disgust,76.5,38.0,6.41
Prosodic analysis of a factual statement reveals typical neutral,neutral,67.2,69.1,1.94
Audio segment classified as frustration based on frustrated vocal characteristics,frustration,93.3,28.5,6.39
Voice analysis indicates disgust with clear intensity,disgust,89.5,46.5,4.41
Audio segment classified as disgust based on repulsed vocal characteristics,disgust,88.7,52.9,6.8
Prosodic analysis of an emotional statement reveals faint contempt,contempt,76.7,47.3,3.07
Voice disgust indicator — the speaker sounds revolted with standard expression,disgust,87.4,42.8,6.48
Emotional tone: sorrowful. Intensity level: standard. Classification: sadness,sadness,58.7,42.6,1.3
The speaker's voice carries typical signs of being matter-of-fact,neutral,74.6,71.5,1.7
The speaker sounds composed,neutral,70.6,59.8,1.27
Emotional tone: amazed. Intensity level: distinct. Classification: surprise,surprise,88.5,50.7,5.6
Emotional tone: scared. Intensity level: standard. Classification: fear,fear,85.5,33.8,7.84
The person is speaking in a repulsed tone suggesting disgust,disgust,75.2,36.0,5.61
"The vocal expression conveys disgust, the tone is repulsed",disgust,73.2,52.2,6.53
Prosodic analysis of an emotional statement reveals extreme disgust,disgust,83.5,52.7,4.61
The speaker sounds impassive,neutral,74.6,73.6,1.33
The speaker's voice carries moderate signs of being gloomy,sadness,58.0,54.6,1.14
The speaker's voice carries pronounced signs of being repulsed,disgust,76.6,52.1,4.21
Prosodic analysis of a factual statement reveals standard sadness,sadness,67.5,41.6,1.56
Acoustic features suggest the person feels disgusted while delivering an emotional statement,disgust,86.9,49.1,6.02
"Audio emotional state: grief, detected from speech prosody",grief,59.5,41.6,2.48
Voice fear indicator — the speaker sounds frightened with extreme expression,fear,98.1,32.4,6.78
The speaker sounds matter-of-fact,neutral,60.7,79.5,1.89
Voice sadness indicator — the speaker sounds sad with moderate expression,sadness,63.2,49.4,1.48
Prosodic analysis of a spoken utterance reveals distinct disgust,disgust,80.3,47.6,4.15
The speaker sounds uneasy,anxiety,82.5,24.9,7.1
Voice fear indicator — the speaker sounds frightened with standard expression,fear,82.6,33.3,8.28
Speech emotion detection: panicked voice pattern with noticeable arousal,fear,84.0,39.0,7.53
"The vocal expression conveys fear, the tone is scared",fear,101.9,36.4,9.99
Speech emotion detection: even-toned voice pattern with moderate arousal,neutral,60.5,75.1,1.85
The speaker sounds agitated,frustration,94.0,38.3,4.22
Prosodic analysis of a spoken phrase reveals typical fear,fear,89.1,40.6,8.61
Voice disgust indicator — the speaker sounds appalled with intense expression,disgust,76.3,40.7,5.16
Acoustic features suggest the person feels composed while delivering a spoken phrase,neutral,60.2,72.9,1.1
The person is speaking in a joyful tone suggesting joy,joy,83.9,60.8,2.26
The speaker sounds uneasy,anxiety,83.6,21.8,5.56
Voice calm indicator — the speaker sounds placid with moderate expression,calm,63.5,75.7,0.93
The person is speaking in a livid tone suggesting anger,anger,85.5,23.4,6.08
"The vocal expression conveys excitement, the tone is energized",excitement,94.4,59.3,5.78
Emotional tone: irritated. Intensity level: intense. Classification: anger,anger,102.4,35.5,5.63
The speaker's voice carries faint signs of being contemptuous,contempt,77.1,39.8,3.07
Voice joy indicator — the speaker sounds delighted with typical expression,joy,79.6,51.7,3.83
Audio segment classified as frustration based on frustrated vocal characteristics,frustration,88.8,30.9,6.09
Acoustic features suggest the person feels joyful while delivering a spoken utterance,joy,87.6,56.7,2.57
Speech emotion detection: dejected voice pattern with typical arousal,sadness,65.6,41.9,1.02
Audio segment classified as sadness based on dejected vocal characteristics,sadness,60.6,51.6,1.21
Voice neutral indicator — the speaker sounds impassive with typical expression,neutral,65.9,70.5,1.87
Voice sadness indicator — the speaker sounds melancholy with distinct expression,sadness,64.9,53.9,1.77
Prosodic analysis of a spoken utterance reveals moderate sadness,sadness,62.3,41.0,1.59
"The vocal expression conveys excitement, the tone is excited",excitement,90.1,43.0,4.64
Voice analysis indicates disgust with normal intensity,disgust,85.9,53.7,4.48
"The vocal expression conveys disgust, the tone is disgusted",disgust,87.3,54.7,5.52
The person is speaking in a revolted tone suggesting disgust,disgust,81.5,47.3,5.08
Prosodic analysis of a spoken utterance reveals distinct surprise,surprise,90.9,46.4,3.44
Emotional tone: downcast. Intensity level: standard. Classification: sadness,sadness,67.9,52.0,1.24
The speaker's voice carries moderate signs of being revolted,disgust,75.0,41.2,5.01
Audio segment classified as disgust based on appalled vocal characteristics,disgust,84.5,50.6,6.88
The person is speaking in a downcast tone suggesting sadness,sadness,65.1,52.7,1.08
Acoustic features suggest the person feels disgusted while delivering a motivational sentence,disgust,78.7,52.2,4.06
The speaker's voice carries pronounced signs of being frightened,fear,93.9,41.5,6.82
The speaker's voice carries extreme signs of being terrified,fear,90.7,25.1,7.05
Voice neutral indicator — the speaker sounds impassive with moderate expression,neutral,71.2,74.6,1.84
The speaker sounds livid,anger,106.9,30.6,7.26
"The vocal expression conveys disgust, the tone is revolted",disgust,70.0,53.8,6.32
Voice joy indicator — the speaker sounds delighted with normal expression,joy,75.9,54.7,3.79
Acoustic features suggest the person feels disgusted while delivering a spoken utterance,disgust,77.9,51.2,6.09
"Audio emotional state: disgust, detected from speech prosody",disgust,74.9,38.9,6.22
Voice sadness indicator — the speaker sounds sorrowful with moderate expression,sadness,66.7,59.9,1.25
Voice analysis indicates anger with distinct intensity,anger,107.2,35.9,6.44
Voice analysis indicates sadness with normal intensity,sadness,62.7,46.2,1.3
Prosodic analysis of an emotional statement reveals low anxiety,anxiety,83.9,29.6,8.48
Emotional tone: frightened. Intensity level: normal. Classification: fear,fear,81.4,28.6,6.34
